Date,Open,High,Low,Close,Volume,Market Cap
13-Jan-18,"2,617.66","2,850.27","2,589.03","2,685.29","1,218,570,000","44,260,300,000"
12-Jan-18,"2,475.90","2,648.23","2,413.33","2,620.99","1,110,220,000","41,859,100,000"
11-Jan-18,"2,891.55","2,976.49","2,396.84","2,462.61","1,947,950,000","48,880,800,000"
10-Jan-18,"2,390.02","2,961.20","2,332.48","2,895.38","2,578,810,000","40,398,000,000"
9-Jan-18,"2,412.36","2,502.87","2,346.68","2,391.56","1,084,750,000","40,770,900,000"
8-Jan-18,"2,786.60","2,810.32","2,275.07","2,421.47","1,428,900,000","47,091,600,000"
7-Jan-18,"2,784.68","3,071.16","2,730.31","2,786.88","1,444,780,000","47,054,000,000"
6-Jan-18,"2,583.71","2,829.69","2,481.36","2,786.65","1,669,160,000","43,653,200,000"
5-Jan-18,"2,400.74","2,648.32","2,370.59","2,584.48","2,115,710,000","40,557,600,000"
4-Jan-18,"2,608.87","2,610.20","2,359.30","2,430.18","5,377,260,000","44,069,100,000"
3-Jan-18,"2,700.55","2,958.47","2,592.56","2,608.69","4,688,840,000","45,613,300,000"
2-Jan-18,"2,434.50","2,867.14","2,434.50","2,711.00","1,831,230,000","41,114,800,000"
1-Jan-18,"2,534.82","2,534.86","2,389.52","2,432.54","922,813,000","42,804,800,000"
31-Dec-17,"2,376.96","2,627.95","2,350.03","2,533.01","1,300,820,000","40,134,900,000"
30-Dec-17,"2,791.55","2,791.55","2,329.47","2,392.41","1,257,760,000","47,129,800,000"
29-Dec-17,"2,587.30","2,922.41","2,389.04","2,779.95","2,479,420,000","43,677,000,000"
28-Dec-17,"2,888.64","2,896.78","2,481.30","2,566.64","3,221,300,000","48,758,700,000"
27-Dec-17,"3,108.32","3,108.32","2,771.05","2,889.52","1,406,450,000","52,461,200,000"
26-Dec-17,"2,947.74","3,112.64","2,915.80","3,108.89","1,544,430,000","49,745,700,000"
25-Dec-17,"2,929.35","3,099.62","2,755.60","2,954.69","1,355,440,000","49,430,800,000"
24-Dec-17,"3,260.55","3,260.55","2,573.44","2,903.12","1,712,160,000","55,013,200,000"
23-Dec-17,"2,746.95","3,479.71","2,684.82","3,257.08","2,843,310,000","46,342,000,000"
22-Dec-17,"3,324.00","3,369.55","1,938.36","2,696.69","3,877,770,000","56,071,800,000"
21-Dec-17,"3,909.00","3,909.00","3,038.01","3,267.17","3,664,330,000","65,933,700,000"
20-Dec-17,"2,825.03","4,355.62","2,825.03","3,923.07","11,889,600,000","47,644,600,000"
19-Dec-17,"2,199.06","2,918.93","2,160.92","2,805.89","3,913,340,000","37,083,300,000"
18-Dec-17,"1,869.21","2,353.64","1,799.12","2,196.64","2,538,650,000","31,516,900,000"
17-Dec-17,"1,812.33","1,939.93","1,806.65","1,862.88","1,020,590,000","30,554,500,000"
16-Dec-17,"1,824.85","1,890.06","1,769.50","1,801.88","971,255,000","30,762,600,000"
15-Dec-17,"1,974.66","1,974.66","1,678.06","1,815.43","1,457,230,000","33,284,800,000"
14-Dec-17,"1,600.67","2,080.41","1,593.15","1,966.14","2,717,410,000","26,977,700,000"
13-Dec-17,"1,616.99","1,702.53","1,497.94","1,607.65","1,245,190,000","27,249,600,000"
12-Dec-17,"1,427.38","1,638.29","1,427.38","1,615.03","1,386,250,000","24,051,800,000"
11-Dec-17,"1,320.00","1,453.49","1,316.85","1,423.38","922,792,000","22,239,900,000"
10-Dec-17,"1,411.84","1,411.84","1,226.21","1,323.07","885,886,000","23,784,900,000"
9-Dec-17,"1,464.63","1,526.40","1,353.90","1,410.06","1,059,610,000","24,671,600,000"
8-Dec-17,"1,329.16","1,731.32","1,247.93","1,464.13","2,553,980,000","22,386,700,000"
7-Dec-17,"1,430.71","1,454.73","1,323.75","1,330.93","1,285,210,000","24,095,900,000"
6-Dec-17,"1,498.49","1,530.65","1,396.16","1,430.10","1,154,620,000","25,234,400,000"
5-Dec-17,"1,580.16","1,623.16","1,498.00","1,501.85","1,032,800,000","26,606,900,000"
4-Dec-17,"1,560.16","1,580.11","1,498.98","1,576.92","780,634,000","26,267,300,000"
3-Dec-17,"1,435.36","1,649.30","1,420.60","1,559.93","1,476,740,000","24,163,600,000"
2-Dec-17,"1,462.06","1,502.37","1,415.49","1,434.98","574,510,000","24,610,500,000"
1-Dec-17,"1,381.81","1,482.68","1,300.46","1,462.68","965,151,000","23,257,100,000"
30-Nov-17,"1,380.36","1,468.75","1,222.10","1,389.78","1,211,730,000","23,230,400,000"
29-Nov-17,"1,541.63","1,673.23","1,332.14","1,359.71","2,345,250,000","25,941,800,000"
28-Nov-17,"1,621.17","1,629.48","1,543.08","1,546.18","1,274,880,000","27,277,200,000"
27-Nov-17,"1,722.93","1,742.40","1,607.79","1,622.57","1,391,460,000","28,986,800,000"
26-Nov-17,"1,571.39","1,758.61","1,563.35","1,735.66","1,593,050,000","26,434,500,000"
25-Nov-17,"1,634.00","1,656.55","1,535.77","1,571.27","1,560,040,000","27,484,900,000"
24-Nov-17,"1,651.86","1,782.83","1,575.76","1,648.51","3,128,960,000","27,782,400,000"
23-Nov-17,"1,302.23","1,683.81","1,299.95","1,683.81","4,112,090,000","21,899,400,000"
22-Nov-17,"1,175.06","1,335.25","1,171.60","1,303.31","1,517,620,000","19,758,600,000"
21-Nov-17,"1,220.78","1,224.15","1,140.88","1,176.97","772,859,000","20,525,100,000"
20-Nov-17,"1,172.43","1,236.01","1,167.28","1,236.01","800,053,000","19,710,200,000"
19-Nov-17,"1,260.95","1,262.34","1,144.08","1,172.05","1,285,910,000","21,196,200,000"
18-Nov-17,"1,197.43","1,388.11","1,197.43","1,254.53","3,053,770,000","20,125,900,000"
17-Nov-17,909.16,"1,217.42",863.98,"1,185.48","3,203,430,000","15,279,000,000"
16-Nov-17,"1,202.17","1,210.36",876.57,900.78,"2,034,690,000","20,202,000,000"
15-Nov-17,"1,269.79","1,326.39","1,191.98","1,212.40","1,321,780,000","21,335,600,000"
14-Nov-17,"1,346.73","1,390.21","1,211.39","1,273.53","1,697,910,000","22,626,200,000"
13-Nov-17,"1,381.82","1,501.16","1,043.00","1,353.99","4,850,570,000","23,214,700,000"
12-Nov-17,"1,346.97","2,477.65","1,215.58","1,388.86","8,371,320,000","22,614,400,000"
11-Nov-17,"1,001.64","1,403.66",910.72,"1,340.45","5,139,770,000","16,807,400,000"
10-Nov-17,651.78,"1,034.77",651.78,"1,007.42","5,195,420,000","10,933,000,000"
9-Nov-17,622.31,670.14,619.26,654.3,"710,387,000","10,437,700,000"
8-Nov-17,615.24,646.38,565.6,622.46,"837,646,000","10,317,500,000"
7-Nov-17,602.68,626.21,602.45,616.3,"375,367,000","10,105,200,000"
6-Nov-17,630.31,657.34,602.65,602.65,"794,105,000","10,566,600,000"
5-Nov-17,619.91,635.72,579.13,630.7,"816,028,000","10,390,900,000"
4-Nov-17,635.35,642.05,571.12,620.45,"1,161,370,000","10,647,200,000"
3-Nov-17,587.32,684.53,577.86,625.32,"1,682,210,000","9,839,760,000"
2-Nov-17,527.68,610.39,514.52,587.22,"1,632,060,000","8,840,010,000"
1-Nov-17,438.3,538.26,437.91,531.83,"1,152,230,000","7,342,250,000"
31-Oct-17,449.37,454.07,431.76,439.05,"343,799,000","7,527,260,000"
30-Oct-17,458.45,478.42,417.62,448.23,"796,409,000","7,679,000,000"
29-Oct-17,420.47,526.12,408.4,451.92,"2,002,440,000","7,042,260,000"
28-Oct-17,369.54,425.45,369.06,423.35,"781,037,000","6,183,520,000"
27-Oct-17,338.3,372.81,338.24,367.57,"501,989,000","5,655,870,000"
26-Oct-17,332.11,350.94,331.21,338.21,"234,967,000","5,550,700,000"
25-Oct-17,326.59,334.38,320.38,332.13,"151,935,000","5,457,720,000"
24-Oct-17,315.9,340.46,311.48,326.89,"267,442,000","5,278,410,000"
23-Oct-17,330.67,332.28,309.87,315.6,"191,558,000","5,524,790,000"
22-Oct-17,323.5,355.52,323.5,331.66,"355,546,000","5,405,020,000"
21-Oct-17,326.75,328.46,317.46,323.36,"129,938,000","5,458,980,000"
20-Oct-17,330.9,332.98,323.08,327.44,"160,204,000","5,527,860,000"
